tree_id,family,latin_name,common_name,state_distributions,iucn_red_list_assessment,planted
1,pinaceae,abies amabilis,pacific silver fir,"['ak', 'ca', 'or', 'wa']",least concern,False
2,pinaceae,abies balsamea,balsam fir,"['ct', 'ia', 'ma', 'md', 'me', 'mi', 'mn', 'nh', 'nj', 'ny', 'oh', 'pa', 'ri', 'va', 'vt', 'wi', 'wv']",least concern,False
3,pinaceae,abies bracteata,santa lucia fir,['ca'],near threatened,False
4,pinaceae,abies concolor,white fir,"['az', 'ca', 'co', 'id', 'ma', 'me', 'nm', 'nv', 'or', 'ut', 'wa', 'wy']",least concern,False
5,pinaceae,abies fraseri,fraser fir,"['ga', 'nc', 'tn', 'va', 'wv']",endangered,False
6,pinaceae,abies grandis,grand fir,"['ca', 'id', 'mt', 'or', 'wa']",least concern,False
7,pinaceae,abies lasiocarpa,subalpine fir,"['ak', 'az', 'ca', 'co', 'id', 'mt', 'nm', 'nv', 'or', 'ut', 'wa', 'wy']",least concern,False
8,pinaceae,abies magnifica,norway spruce,"['ca', 'nv', 'ny', 'or']",least concern,False
9,pinaceae,abies procera,noble fir,"['ca', 'or', 'wa']",least concern,False
10,fabaceae,acacia rigidula,blackbrush acacia,['tx'],least concern,False
11,sapindaceae,acer circinatum,vine maple,"['ak', 'ca', 'or', 'wa']",least concern,False
12,sapindaceae,acer floridanum,southern sugar maple,"['al', 'ar', 'fl', 'ga', 'il', 'ky', 'la', 'mo', 'ms', 'nc', 'ok', 'sc', 'tn', 'tx', 'va']",least concern,False
13,sapindaceae,acer glabrum,rocky mountain maple,"['ak', 'az', 'ca', 'co', 'id', 'mt', 'ne', 'nm', 'nv', 'or', 'sd', 'ut', 'wa', 'wy']",least concern,False
14,sapindaceae,acer grandidentatum,bigtooth maple,"['az', 'co', 'id', 'nm', 'nv', 'ok', 'tx', 'ut', 'wa', 'wy']",least concern,False
15,sapindaceae,acer leucoderme,chalk maple,"['al', 'ar', 'dc', 'fl', 'ga', 'la', 'ms', 'nc', 'ok', 'sc', 'tn', 'tx']",least concern,False
